title,original_price,current_price
Doraemon truyện ngắn - Tập 23 (2022),"18,000₫","16,200₫"
Doraemon truyện ngắn - Tập 22 (2022),"18,000₫","16,200₫"
Doraemon truyện ngắn - Tập 21 (2022),"18,000₫","16,200₫"
Doraemon tranh truyện màu - Nobita và chuy...,"25,000₫","22,500₫"
Doraemon tranh truyện màu - Nobita và chuy...,"25,000₫","22,500₫"
Doraemon tranh truyện màu - Nobita vũ trụ ...,"25,000₫","22,500₫"
Doraemon tranh truyện màu - Nobita vũ trụ ...,"25,000₫","22,500₫"
Doraemon tranh truyện màu - Nobita và chuy...,"25,000₫","22,500₫"
Doraemon tranh truyện màu - Nobita và chuy...,"25,000₫","22,500₫"
Doraemon tranh truyện màu - Nobita và truy...,"25,000₫","22,500₫"
Doraemon tranh truyện màu - Nobita và truy...,"25,000₫","22,500₫"
Doraemon truyện ngắn - Tập 20 (2022),"18,000₫","16,200₫"
Doraemon truyện ngắn - Tập 14 (2022),"18,000₫","16,200₫"
Doraemon truyện ngắn - Tập 6 (2022),"18,000₫","16,200₫"
Doraemon Bóng chày - Truyền kì về bóng chà...,"18,000₫","16,200₫"
Doraemon bảo bối - Tập 2 (2022),"30,000₫","27,000₫"
Doraemon bảo bối - Tập 1 (2022),"30,000₫","27,000₫"
Doraemon đố vui - Tập 1 (2022),"30,000₫","27,000₫"
Doraemon Tuyển tập tranh truyện màu kĩ thu...,"25,000₫","22,500₫"
Doraemon truyện dài - Tập 19 - Nobita - Vũ...,"18,000₫","16,200₫"
Doraemon truyện dài - Tập 17 - Nobita và c...,"18,000₫","16,200₫"
Doraemon truyện dài - Tập 16 - Nobita và c...,"18,000₫","16,200₫"
Doraemon bóng chày - Truyền kì về bóng chà...,"18,000₫","16,200₫"
Doraemon bóng chày - Truyền kì về bóng chà...,"18,000₫","16,200₫"
Doraemon bóng chày - Truyền kì về bóng chà...,"18,000₫","16,200₫"
Doraemon truyện dài - Tập 22 - Nobita và v...,"18,000₫","16,200₫"
Doraemon truyện ngắn - Tập 33 (2022),"18,000₫","16,200₫"
Doraemon truyện ngắn - Tập 26 (2022),"18,000₫","16,200₫"
Doraemon truyện ngắn - Tập 17 (2022),"18,000₫","16,200₫"
Doraemon truyện ngắn - Tập 13 (2022),"18,000₫","16,200₫"
Doraemon truyện ngắn - Tập 12 (2022),"18,000₫","16,200₫"
Doraemon truyện ngắn - Tập 11 (2022),"18,000₫","16,200₫"
Doraemon truyện ngắn - Tập 9 (2022),"18,000₫","16,200₫"
Doraemon truyện ngắn - Tập 44 (2022),"18,000₫","16,200₫"
Doraemon truyện ngắn - Tập 39 (2022),"18,000₫","16,200₫"
Doraemon truyện ngắn - Tập 36 (2022),"18,000₫","16,200₫"
Doraemon truyện ngắn - Tập 34 (2022),"18,000₫","16,200₫"
